"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1039","get token","API","Tue Sep 02 08:00:24 IST 2025","passed","Tue Sep 02 08:00:25 IST 2025","","api\users\auth.test.ts","",""
"","1027","get /contacts getcontact","API","Tue Sep 02 08:00:23 IST 2025","passed","Tue Sep 02 08:00:24 IST 2025","","api\contacts\contacts.spec.ts","",""
"","2243","check storage test 1","API","Tue Sep 02 08:00:26 IST 2025","failed","Tue Sep 02 08:00:28 IST 2025","check with storage state","api\contacts\checkStorage.spec.ts","",""
"","261","POST /contacts add contact","API","Tue Sep 02 08:00:24 IST 2025","passed","Tue Sep 02 08:00:24 IST 2025","","api\contacts\contacts.spec.ts","",""
"","1103","POST /users add users","API","Tue Sep 02 08:00:26 IST 2025","failed","Tue Sep 02 08:00:27 IST 2025","","api\users\users.spec.ts","",""
"","252","POST /users/me getProfile","API","Tue Sep 02 08:00:25 IST 2025","passed","Tue Sep 02 08:00:26 IST 2025","","api\users\users.spec.ts","",""
"","1095","get token","auth:users","Tue Sep 02 08:00:06 IST 2025","passed","Tue Sep 02 08:00:07 IST 2025","","api\users\auth.test.ts","",""
"","15107","check storage test","API","Tue Sep 02 08:00:09 IST 2025","passed","Tue Sep 02 08:00:24 IST 2025","","api\contacts\checkContacts.spec.ts","",""
"","13869","sample test","API","Tue Sep 02 08:00:09 IST 2025","passed","Tue Sep 02 08:00:23 IST 2025","","api\contacts\checkContacts.spec.ts","",""
"","1980","sample test 2","API","Tue Sep 02 08:00:25 IST 2025","failed","Tue Sep 02 08:00:27 IST 2025","","api\contacts\checkContacts.spec.ts","",""
